Bus,Erro (%)
1,0.0
2,0.0
3,0.5076142131979701
4,0.004107623533810493
5,0.38432273926864624
6,4.531522549490433e-14
7,0.02027279614858173
8,0.49751243781097865
9,0.0
10,0.8726434523427697
11,0.1821610578892283
12,0.49261083743841316
13,0.3028919255092378
14,0.6356391706714393
15,0.35685044063310606
16,0.3288428372613745
17,0.254327345942824
18,6.004588285646648
19,7.888718470667326
20,8.461901853426042
21,19.815574415156068
22,19.88479667109515
23,20.156580179753423
24,20.989338379088817
25,25.0564385222216
26,11.047413481464247
27,9.108392941440414
28,8.925118619910387
29,8.030609230110686
30,26.80931784041548
31,30.571209707002772
32,29.328443790692617
33,29.853744041468346
34,20.645659482042507
35,20.610440657515998
36,20.113162532398878
37,18.965087487334422
38,19.377075443406113
39,19.139102558511425
40,18.857695213717317
41,14.148194795487756
42,17.920806263971418
43,10.365270548546937
44,17.805048678888358
45,12.984792895637595
46,20.587387542190182
47,20.88793992853677
48,21.109497315796723
49,21.567574357625308
50,20.082596726842926
51,16.581247845171717
52,10.220211443661302
53,11.245606764910049
54,12.697727436072656
55,12.744321651211088
56,20.359006928399644
57,21.06524925079055
