Bus,Erro (%)
1,0.0
2,0.47846889952156324
3,0.11532607729974165
4,0.22724777487147757
5,2.1984614349013005e-14
6,0.0619170108170592
7,0.2590356534509274
8,0.0
9,0.10766604403345853
10,0.5145457971418067
11,0.1848428835489835
12,0.25167617401229825
13,0.09337068160596546
14,0.24055513347728572
15,0.20079844497347862
16,0.44282301558984094
17,0.014445354434878526
18,0.15594288323745226
19,0.3996556475937678
20,0.0012883938572844885
21,0.2886975172919212
22,0.3399695495912958
23,0.2502378108424105
24,0.1806311360262827
25,0.2340155856053386
26,0.005359998568448256
27,0.34571348796795237
28,0.2878513443522405
29,0.36921028647262877
30,0.22522884116556674
