Numero;Nome;Tensao (p.u.);Angulo (graus);Carga Ativa (MW);Carga Reativa (Mvar);Geracao Ativa (MW);Geracao Reativa (Mvar);Shunt (Mvar);Potencia Ativa Elo DC (MW);Potencia Reativa Elo DC (Mvar);Injecao Equivalente (MW);Injecao Equivalente (Mvar);Motor de Inducao (MW);Motor de Inducao (Mvar);Tipo da Barra;Tensao (KV);CER (Mvar);Shunt de Linha (Mvar);Estado Operativo
1;Kanawha---V1;1,04;0,00;55,00;17,00;128,90;-16,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2;1,00;0,00;0,00;LIG
2;Turner----V1;1,01;-1,10;3,00;88,00;0,00;-0,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
3;Logan-----V1;0,98;-5,90;41,00;21,00;40,00;-1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
4;Sprigg----V1;0,98;-7,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
5;Barra-5---V1;0,98;-8,50;13,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
6;Beaver-Ck-V1;0,98;-8,60;75,00;2,00;0,00;0,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
7;Barra-7---V1;0,98;-7,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
8;Clinch-Rv-V1;1,00;-4,40;150,00;22,00;450,00;62,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
9;Saltville-V1;0,98;-9,50;121,00;26,00;0,00;2,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
10;Barra-10--V1;0,99;-11,00;5,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
11;Tazewell--V1;0,97;-10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
12;Glen-Lyn--V1;1,01;-10,00;377,00;24,00;310,00;128,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
13;Barra-13--V1;0,98;-9,70;18,00;2,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
14;Barra-14--V1;0,97;-9,30;10,50;5,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
15;Barra-15--V1;0,99;-7,10;22,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
16;Barra-16--V1;1,01;-8,80;43,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
17;Barra-17--V1;1,02;-5,30;42,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
18;Sprigg----V2;1,00;-11,00;27,20;9,80;0,00;0,00;10,02;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
19;Barra-19--V2;0,97;-13,00;3,30;0,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
20;Barra-20--V2;0,96;-13,00;2,30;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
21;Barra-21--V3;1,01;-12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
22;Barra-22--V3;1,01;-12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
23;Barra-23--V3;1,01;-12,00;6,30;2,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
24;Barra-24--V3;1,00;-13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
25;Barra-25--V4;0,98;-18,00;6,30;3,20;0,00;0,00;5,69;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
26;Barra-26--V5;0,96;-12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
27;Barra-27--V5;0,98;-11,00;9,30;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
28;Barra-28--V5;1,00;-10,00;4,60;2,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
29;Barra-29--V5;1,01;-9,70;17,00;2,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
30;Barra-30--V4;0,96;-18,00;3,60;1,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
31;Barra-31--V4;0,94;-19,00;5,80;2,90;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
32;Barra-32--V4;0,95;-18,00;1,60;0,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
33;Barra-33--V4;0,95;-18,00;3,80;1,90;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
34;Barra-34--V3;0,96;-14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
35;Barra-35--V3;0,97;-13,00;6,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
36;Barra-36--V3;0,98;-13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
37;Barra-37--V3;0,98;-13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
38;Barra-38--V3;1,01;-12,00;14,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
39;Barra-39--V3;0,98;-13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
40;Barra-40--V3;0,97;-13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
41;Tazewell--V6;1,00;-14,00;6,30;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
42;Barra-42--V6;0,97;-15,00;7,10;4,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
43;Tazewell--V7;1,01;-11,00;2,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
44;Barra-44--V3;1,02;-11,00;12,00;1,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
45;Barra-45--V3;1,04;-9,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
46;Barra-46--V3;1,05;-11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
47;Barra-47--V3;1,03;-12,00;29,70;11,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
48;Barra-48--V3;1,03;-12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
49;Barra-49--V3;1,04;-12,00;18,00;8,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
50;Barra-50--V3;1,02;-13,00;21,00;10,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
51;Barra-51--V3;1,05;-12,00;18,00;5,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
52;Barra-52--V5;0,98;-11,00;4,90;2,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
53;Barra-53--V5;0,97;-12,00;20,00;10,00;0,00;0,00;5,94;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
54;Barra-54--V5;1,00;-11,00;4,10;1,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
55;Saltville-V5;1,03;-10,00;6,80;3,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
56;Barra-56--V6;0,97;-16,00;7,60;2,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
57;Barra-57--V6;0,96;-16,00;6,70;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
