Bus;vm_pu;va_degree
1;0,955;10,941479484285976
2;0,9713927913956537;11,481305205175264
3;0,9676919384834409;11,824921866184596
4;0,9979999999999999;15,542784836308611
5;1,001984613662173;15,987868130808629
6;0,9900000000000001;13,2606002708375
7;0,9893278849508672;12,81608145267468
8;1,0149999999999997;21,009208311644695
9;1,0429182052082855;28,263313381503977
10;1,0500000000000003;35,84422252744679
11;0,9850885658613052;12,974547197161272
12;0,9900000000000001;12,457680617167028
13;0,9683020626252494;11,59853094287847
14;0,9835910315398022;11,74026359534373
15;0,9700000000000001;11,443054047813282
16;0,9838970760894004;12,156252402028855
17;0,9950877645791723;13,964449857841187
18;0,973;11,749952205797948
19;0,9619999999999996;11,283752809080395
20;0,9569299047147415;12,161992014726502
21;0,9577183203785713;13,750362451477892
22;0,9690120343906328;16,30559478004273
23;0,999467241778048;21,225142053770004
24;0,9920000000000001;21,094645313120004
25;1,05;28,153044523466942
26;1,015;29,932063952194213
27;0,9679999999999999;15,577225859052849
28;0,9615680728620545;13,851242635079089
29;0,963216436333462;12,85732724697191
30;0,9853323266861891;19,002249858861976
31;0,9669999999999999;12,973640856231256
32;0,9629999999999997;15,03354197723293
33;0,9709343853102316;10,82131075769096
34;0,9840000000000001;11,47756157967291
35;0,9804525675605602;11,021139343335966
36;0,98;11,021616876662787
37;0,9906619613574315;11,932690803074218
38;0,9612918311527971;17,072666368305207
39;0,9699613549251709;8,54269653029281
40;0,97;7,461675326759988
41;0,9668324561386348;7,017761278872337
42;0,9850000000000001;8,619212354243468
43;0,9771210781922273;11,42703796932053
44;0,9844356749957178;13,910739327433182
45;0,9863826108517467;15,740327327648545
46;1,0050000000000001;18,54472994064046
47;1,0170407174811205;20,77077656660213
48;1,0206339196018992;19,985593161382358
49;1,025;20,98819848063263
50;1,0010814912273;18,94858317197138
51;0,9668744184448738;16,328825596818096
52;0,9568155547687419;15,375209534399719
53;0,9459816713949653;14,399731236603579
54;0,9549999999999998;15,311065342236637
55;0,9519999999999998;15,020959351292012
56;0,954;15,207765637006371
57;0,9705812340448607;16,41334408566622
58;0,9590372242598186;15,556385629922008
59;0,9849999999999999;19,408354203937154
60;0,9931563181023325;23,18895772138196
61;0,9950000000000003;24,080178066758858
62;0,9980000000000001;23,463874738859364
63;0,968739658678793;22,786057478961922
64;0,9837407010170148;24,55133234475168
65;1,005;27,675264860010444
66;1,05;27,51907632022629
67;1,0196813293479687;24,87875007929199
68;0,9974026589013735;27,5776469513445
69;1,035;29,999999999999993
70;0,9839999999999999;22,61655587594517
71;0,9868441639091716;22,20399201100959
72;0,9800000000000003;21,097799090124237
73;0,991;21,99249459483628
74;0,958;21,672139828283168
75;0,9673326524722455;22,935318625908
76;0,9430000000000001;21,80971705681138
77;1,0060000000000002;26,769781038048578
78;1,0034242780252294;26,4665959818046
79;1,009222590744921;26,767033218666704
80;1,0399999999999998;29,016157770290654
81;0,9832434854085016;28,169465017776407
82;0,988545985066592;27,293948112262083
83;0,9843772694869701;28,486339875743326
84;0,9797038106083605;31,02299867966742
85;0,9849999999999999;32,578454599953766
86;0,9832489321901592;31,260514708310176
87;1,015;31,493763503140663
88;0,9874529307645113;35,71360067041015
89;1,005;39,77187892178411
90;0,9850000000000001;33,36196977663329
91;0,9799999999999999;33,37431872163442
92;0,9899999999999998;33,904610060591956
93;0,9854335802329324;30,873040891277615
94;0,9898310623444817;28,706268386045526
95;0,9803327111501535;27,733527890697903
96;0,9922838137801725;27,56644007933111
97;1,0111665128906222;27,940810230823278
98;1,0235084993227577;27,458847997553352
99;1,01;27,09172194535999
100;1,0169999999999997;28,083340906627754
101;0,9914199132699725;29,671091167553243
102;0,9891310292521821;32,38892913988711
103;1,01;24,34225101095579
104;0,9710000000000002;21,772265930678664
105;0,965;20,668064205896112
106;0,9611463175345273;20,407903273423717
107;0,9519999999999996;17,607166703917695
108;0,9662117535991577;19,467983476129515
109;0,967025527495406;19,015385288782632
110;0,973;18,168525785393363
111;0,9799999999999998;19,813606682988336
112;0,9750000000000002;15,069308211950412
113;0,9929999999999999;13,962257516373606
114;0,9600930747949218;14,699259745217962
115;0,960022869036719;14,690971353248568
116;1,005;27,11181395801885
117;0,9738244468092202;10,916680258528961
118;0,9494384212869507;21,94967065984103
