vm_pu,va_degree
1.06,0.0
1.0450000000000002,-4.982589141823149
1.0100000000000002,-12.725099937924565
1.0176708536979624,-10.312901092075002
1.0195138598245428,-8.77385389811463
1.0700000000000007,-14.220946463318858
1.0615195324941473,-13.35962736505524
1.0900000000000003,-13.35962736505524
1.0559317206401935,-14.938521294903897
1.0509846250025676,-15.097288462729287
1.0569065185417776,-14.790622030954625
1.0551885631974163,-15.075584520039266
1.0503817136292168,-15.156276335843142
1.0355299458561893,-16.033644528856122
