Numero;Nome;Tensao (p.u.);Angulo (graus);Carga Ativa (MW);Carga Reativa (Mvar);Geracao Ativa (MW);Geracao Reativa (Mvar);Shunt (Mvar);Potencia Ativa Elo DC (MW);Potencia Reativa Elo DC (Mvar);Injecao Equivalente (MW);Injecao Equivalente (Mvar);Motor de Inducao (MW);Motor de Inducao (Mvar);Tipo da Barra;Tensao (KV);CER (Mvar);Shunt de Linha (Mvar);Estado Operativo
1;Riversde--V2;0,95;10,98;51,00;27,00;0,00;-3,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
2;Pokagon---V2;0,97;11,52;20,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
3;HickryCk--V2;0,97;11,87;39,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
4;NwCarlsl--V2;1,00;15,58;30,00;12,00;-9,00;-15,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
5;Olive-----V2;1,00;16,03;0,00;0,00;0,00;0,00;-40,16;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
6;Kankakee--V2;0,99;13,30;52,00;22,00;0,00;15,93;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
7;JacksnRd--V2;0,99;12,86;19,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
8;Olive-----V1;1,02;21,05;0,00;0,00;-28,00;62,73;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
9;Bequine---V1;1,04;28,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
10;Breed-----V1;1,05;35,88;0,00;0,00;450,00;-51,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
11;SouthBnd--V2;0,99;13,02;70,00;23,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
12;TwinBrch--V2;0,99;12,50;47,00;10,00;85,00;91,27;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
13;Concord---V2;0,97;11,64;34,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
14;GoshenJt--V2;0,98;11,78;14,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
15;FtWayne---V2;0,97;11,49;90,00;30,00;0,00;2,98;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
16;N.E.------V2;0,98;12,20;25,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
17;Sorenson--V2;1,00;14,01;11,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
18;McKinley--V2;0,97;11,79;60,00;34,00;0,00;25,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
19;Lincoln---V2;0,96;11,31;45,00;25,00;0,00;-8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-1;1,00;0,00;0,00;LIG
20;Adams-----V2;0,96;12,19;18,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
21;Jay-------V2;0,96;13,78;14,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
22;Randolph--V2;0,97;16,33;10,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
23;CollCrnr--V2;1,00;21,25;7,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
24;Trenton---V2;0,99;21,12;0,00;0,00;-13,00;-15,45;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
25;TannrsCk--V2;1,05;28,18;0,00;0,00;220,00;49,69;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
26;TannrsCk--V1;1,02;29,96;0,00;0,00;314,00;9,89;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
27;Madison---V2;0,97;15,61;62,00;13,00;-9,00;2,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
28;Mullin----V2;0,96;13,89;17,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
29;Grant-----V2;0,96;12,90;24,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
30;Sorenson--V1;0,99;19,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
31;DeerCrk---V2;0,97;13,01;43,00;27,00;7,00;31,57;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
32;Delaware--V2;0,96;15,05;59,00;23,00;0,00;-12,36;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
33;Haviland--V2;0,97;10,87;23,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
34;Rockhill--V2;0,99;11,51;59,00;26,00;0,00;-7,01;13,61;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
35;WestLima--V2;0,98;11,08;33,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
36;Sterling--V2;0,98;11,09;31,00;17,00;0,00;-1,92;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
37;EastLima--V2;0,99;11,97;0,00;0,00;0,00;0,00;-24,61;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
38;EastLima--V1;0,96;17,11;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
39;NwLibrty--V2;0,97;8,60;27,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
40;WestEnd---V2;0,97;7,53;20,00;23,00;-46,00;26,77;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
41;S.Tiffin--V2;0,97;7,08;37,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
42;Howard----V2;0,98;8,67;37,00;23,00;-59,00;41,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
43;S.Kenton--V2;0,98;11,46;18,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
44;WMVernon--V2;0,99;13,95;16,00;8,00;0,00;0,00;9,70;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
45;N.Newark--V2;0,99;15,78;53,00;22,00;0,00;0,00;9,74;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
46;W.Lancst--V2;1,00;18,58;28,00;10,00;19,00;-5,25;10,10;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
47;Crooksvl--V2;1,02;20,81;34,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
48;Zanesvll--V2;1,02;20,03;20,00;11,00;0,00;0,00;15,63;0,00;0,00;0,00;0,00;0,00;0,00;0;1,00;0,00;0,00;LIG
49;Philo-----V2;1,02;21,03;87,00;30,00;204,00;115,63;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;LIG
