Numero;Tensao (p.u.);Angulo (graus);Carga Ativa (MW);Carga Reativa (Mvar);Geracao Ativa (MW);Geracao Reativa (Mvar);Shunt (Mvar)
1;0,96;10,96;51,00;27,00;0,00;-2,32;-0,00
2;0,97;11,50;20,00;9,00;0,00;0,00;-0,00
3;0,97;11,85;39,00;10,00;0,00;0,00;-0,00
4;1,00;15,56;30,00;12,00;-9,00;-13,91;-0,00
5;1,00;16,01;0,00;0,00;0,00;0,00;-40,16
6;0,99;13,28;52,00;22,00;0,00;16,19;-0,00
7;0,99;12,84;19,00;2,00;0,00;0,00;-0,00
8;1,02;21,03;0,00;0,00;-28,00;94,69;-0,00
9;1,04;28,33;0,00;0,00;0,00;0,00;-0,00
10;1,05;35,92;0,00;0,00;450,00;-28,63;-0,00
11;0,98;13,00;70,00;23,00;0,00;0,00;-0,00
12;0,99;12,48;47,00;10,00;85,00;94,81;-0,00
13;0,97;11,63;34,00;16,00;0,00;0,00;-0,00
14;0,98;11,76;14,00;1,00;0,00;0,00;-0,00
15;0,97;11,46;90,00;30,00;0,00;8,26;-0,00
16;0,98;12,18;25,00;10,00;0,00;0,00;-0,00
17;0,99;13,99;11,00;3,00;0,00;0,00;-0,00
18;0,97;11,76;60,00;34,00;0,00;28,10;-0,00
19;0,96;11,28;45,00;25,00;0,00;-8,00;-0,00
20;0,96;12,17;18,00;3,00;0,00;0,00;-0,00
21;0,96;13,77;14,00;8,00;0,00;0,00;-0,00
22;0,97;16,33;10,00;5,00;0,00;0,00;-0,00
23;1,00;21,25;7,00;3,00;0,00;0,00;-0,00
24;0,99;21,11;0,00;0,00;-13,00;-12,33;-0,00
25;1,05;28,19;0,00;0,00;220,00;53,06;-0,00
26;1,01;29,97;0,00;0,00;314,00;21,28;-0,00
27;0,97;15,60;62,00;13,00;-9,00;4,31;-0,00
28;0,96;13,88;17,00;7,00;0,00;0,00;-0,00
29;0,96;12,88;24,00;4,00;0,00;0,00;-0,00
30;0,98;19,04;0,00;0,00;0,00;0,00;-0,00
31;0,97;12,99;43,00;27,00;7,00;33,03;-0,00
32;0,96;15,04;59,00;23,00;0,00;-9,76;-0,00
33;0,97;10,84;23,00;9,00;0,00;0,00;-0,00
34;0,99;11,47;59,00;26,00;0,00;2,19;13,61
35;0,98;11,05;33,00;9,00;0,00;0,00;-0,00
36;0,98;11,05;31,00;17,00;0,00;-0,71;-0,00
37;0,99;11,94;0,00;0,00;0,00;0,00;-24,57
38;0,96;17,09;0,00;0,00;0,00;0,00;-0,00
39;0,97;8,57;27,00;11,00;0,00;0,00;-0,00
40;0,97;7,49;20,00;23,00;-46,00;28,92;-0,00
41;0,97;7,05;37,00;10,00;0,00;0,00;-0,00
42;0,98;8,65;37,00;23,00;-59,00;43,18;-0,00
43;0,98;11,45;18,00;7,00;0,00;0,00;-0,00
44;0,98;13,95;16,00;8,00;0,00;0,00;9,67
45;0,99;15,78;53,00;22,00;0,00;0,00;9,71
46;1,00;18,57;28,00;10,00;19,00;-3,02;10,10
47;1,02;20,80;34,00;0,00;0,00;0,00;-0,00
48;1,02;20,02;20,00;11,00;0,00;0,00;15,62
49;1,02;21,02;87,00;30,00;204,00;123,48;-0,00
50;1,00;18,99;17,00;4,00;0,00;0,00;-0,00
51;0,97;16,37;17,00;8,00;0,00;0,00;-0,00
52;0,96;15,42;18,00;5,00;0,00;0,00;-0,00
53;0,95;14,44;23,00;11,00;0,00;0,00;-0,00
54;0,96;15,34;113,00;32,00;48,00;6,45;-0,00
55;0,95;15,05;63,00;22,00;0,00;5,30;-0,00
56;0,95;15,24;84,00;18,00;0,00;0,11;-0,00
57;0,97;16,45;12,00;3,00;0,00;0,00;-0,00
58;0,96;15,60;12,00;3,00;0,00;0,00;-0,00
59;0,99;19,44;277,00;113,00;155,00;81,03;-0,00
60;0,99;23,23;78,00;3,00;0,00;0,00;-0,00
61;1,00;24,12;0,00;0,00;160,00;-36,77;-0,00
62;1,00;23,50;77,00;14,00;0,00;2,44;-0,00
63;0,97;22,82;0,00;0,00;0,00;0,00;-0,00
